order_id,customer_id,order_date,order_status,payment_status,total_amount_sar,currency,order_type,priority,delivery_date,delivery_address,delivery_city,special_instructions,payment_terms,discount_percent,tax_amount_sar,shipping_cost_sar,created_by,approved_by,created_at,updated_at
ORD45865,CUST9084,2025-06-26T00:25:57,Processing,Paid,20050.04,SAR,Equipment,Medium,2025-10-22T09:19:22,"56698 Susan Lock Apt. 346
South Reginald, MH 88749",Yanbu,Hazardous materials,Net 30,4.28,104.04,392.19,Morgan Smith,Eric Hanna,2025-10-04T21:14:57.650911,2025-10-04T21:14:57.650912
ORD58573,CUST3803,2025-02-20T19:50:48,Shipped,Paid,10082.65,SAR,Petrochemicals,Low,2025-10-27T21:36:51,"6995 Juan View
Earlstad, IN 65910",Taif,Hazardous materials,Net 30,7.12,346.93,734.82,Erik Obrien,Alexander Jimenez,2025-10-04T21:14:57.651609,2025-10-04T21:14:57.651610
ORD69974,CUST5350,2025-05-15T08:23:28,Delivered,Pending,52370.0,SAR,Bulk Fuel,Medium,2025-10-11T12:58:44,"801 Cheryl Port
Burtonfurt, ID 75138",Jubail,Express delivery,Prepaid,11.9,71.75,929.15,Sheri Jackson,Rebecca Stewart,2025-10-04T21:14:57.652318,2025-10-04T21:14:57.652319
ORD53865,CUST3454,2025-05-16T05:10:27,Shipped,Paid,12107.33,SAR,Petrochemicals,Medium,2025-11-01T16:12:22,"718 Hernandez Circle
New Kennethville, GA 84173",Abha,Express delivery,COD,2.61,151.65,939.01,Scott Elliott,Ana Warren,2025-10-04T21:14:57.653017,2025-10-04T21:14:57.653018
ORD65746,CUST8786,2025-02-19T03:10:56,In Transit,Paid,18845.97,SAR,Petrochemicals,Low,2025-10-27T13:37:06,"Unit 0462 Box 0316
DPO AP 25599",Abha,No special requirements,Prepaid,5.87,282.13,563.35,Jennifer May MD,Brenda Mcgee DVM,2025-10-04T21:14:57.653522,2025-10-04T21:14:57.653523
ORD39259,CUST6715,2025-05-21T18:23:45,Confirmed,Paid,7993.81,SAR,Equipment,Medium,2025-10-12T19:23:58,"USNS Graham
FPO AP 71629",Hofuf,Hazardous materials,Net 15,2.31,168.82,504.39,Jennifer Ray,Peter Roberts,2025-10-04T21:14:57.654099,2025-10-04T21:14:57.654100
ORD85956,CUST3448,2025-05-24T20:21:17,Confirmed,Paid,4669.11,SAR,Fuel Delivery,Low,2025-10-19T20:53:51,"678 Jill Avenue Suite 522
West Sarah, HI 31965",Taif,Express delivery,Net 15,11.51,454.96,651.4,Brenda Powers,Angela Smith,2025-10-04T21:14:57.654776,2025-10-04T21:14:57.654777
ORD82479,CUST9500,2025-05-30T03:57:45,Delivered,Paid,19654.11,SAR,Petrochemicals,Medium,2025-10-16T16:21:05,"71956 Annette Stravenue
Serranochester, MO 83289",Riyadh,Temperature controlled,COD,0.85,375.32,401.02,Lydia Robinson,Brian Bishop,2025-10-04T21:14:57.655698,2025-10-04T21:14:57.655700
ORD13587,CUST4760,2025-05-25T21:51:51,Delivered,Partial,4737.47,SAR,Services,High,2025-10-08T17:44:07,"USS Choi
FPO AA 34544",Jeddah,No special requirements,Prepaid,14.86,98.79,781.96,David Juarez,Robert Murphy,2025-10-04T21:14:57.656981,2025-10-04T21:14:57.656985
ORD73933,CUST9076,2025-02-14T09:13:19,Delivered,Paid,73508.37,SAR,Bulk Fuel,Medium,2025-10-24T16:16:46,"5551 Fitzgerald Pines Suite 778
Smithtown, NC 34553",Jeddah,No special requirements,Net 30,11.32,412.7,844.25,Andrew Parks,Stacie Ward,2025-10-04T21:14:57.657893,2025-10-04T21:14:57.657895
ORD87438,CUST2816,2025-05-16T09:28:25,In Transit,Paid,76303.61,SAR,Bulk Fuel,High,2025-10-16T02:53:45,"PSC 6075, Box 3954
APO AP 71467",Hofuf,Express delivery,Net 15,7.59,166.92,811.33,Jennifer Gregory,Jermaine Thomas,2025-10-04T21:14:57.658466,2025-10-04T21:14:57.658467
ORD38324,CUST8018,2025-03-13T06:44:08,Delivered,Paid,2227.77,SAR,Lubricants,High,2025-10-18T18:53:47,"656 Jacob Hollow Apt. 193
New Gregorychester, ID 72156",Hofuf,Handle with care,Prepaid,3.71,381.04,130.23,Luis Fowler,Brandi Barrera,2025-10-04T21:14:57.659195,2025-10-04T21:14:57.659196
ORD33145,CUST2421,2025-02-22T18:40:08,Delivered,Paid,2850.05,SAR,Petrochemicals,Low,2025-10-14T20:21:18,"218 Mccoy Gardens Suite 580
Thomasbury, WI 93787",Jazan,Handle with care,Prepaid,5.75,112.61,551.12,Adam Taylor,Laura Lee,2025-10-04T21:14:57.659960,2025-10-04T21:14:57.659961
ORD68691,CUST6299,2025-05-22T07:20:43,Confirmed,Paid,594.53,SAR,Fuel Delivery,Low,2025-10-15T20:04:16,"543 Shirley Islands
Jeffreyville, HI 38941",Abha,Hazardous materials,Net 15,0.24,140.67,716.14,Jessica Smith,James Solomon,2025-10-04T21:14:57.660846,2025-10-04T21:14:57.660850
ORD16987,CUST8151,2025-04-05T07:47:55,Confirmed,Paid,5304.16,SAR,Petrochemicals,Low,2025-10-20T01:17:39,"10712 Edward Hollow Suite 585
Monicachester, HI 04704",Taif,Express delivery,Net 15,3.45,450.34,655.03,Amy Kelley,Michael Sullivan,2025-10-04T21:14:57.661762,2025-10-04T21:14:57.661765
