fulfillment_id,order_id,fulfillment_status,fulfillment_date,warehouse_id,warehouse_name,picker_id,picker_name,packer_id,packer_name,shipping_method,tracking_number,carrier_name,estimated_delivery,actual_delivery,delivery_notes,quality_check_passed,temperature_controlled,hazardous_material,created_at
FUL74094,ORD16865,Shipped,2025-05-23T17:50:57,WH001,Riyadh Central Warehouse,PICK6460,Catherine Bell,PACK7194,Annette Velez,Bulk Transport,TRK-17840339,Aldrees Logistics,2025-10-10T08:01:19,,"During gas space once smile. Between rock something record white economic subject. Face claim issue board.
Town wide hour. Hit kid management full political.",True,True,False,2025-10-04T21:15:09.123858
FUL53626,ORD47158,Delivered,2025-02-05T06:31:16,WH004,Yanbu Storage Facility,PICK4786,Daniel Guzman,PACK9543,Molly Kim,Bulk Transport,TRK-86069410,FedEx,2025-10-10T19:44:13,,"Affect wish action individual. Woman create address popular. Too ever black kind sea.
Single different story day wait ability follow. Maybe go ball play officer carry investment it.",True,False,False,2025-10-04T21:15:09.124581
FUL97826,ORD56479,Delivered,2025-04-27T17:45:41,WH002,Jeddah Distribution Center,PICK1436,Kristen Williams,PACK8955,Anthony Soto,Ground Transport,TRK-59952595,FedEx,2025-10-09T06:59:46,,Seem plant structure win bank read. Realize blood across fight play cause animal. Hold minute truth treat whose kitchen source.,True,False,False,2025-10-04T21:15:09.125222
FUL41084,ORD35642,Delivered,2025-05-06T02:07:34,WH004,Yanbu Storage Facility,PICK4458,Jessica Jones,PACK3173,Deborah Snyder,Ground Transport,TRK-94575944,FedEx,2025-10-10T15:59:06,,"Radio someone tell without eat behind key. Level protect always several political defense.
Medical character key. Budget long indeed money watch real.",True,False,True,2025-10-04T21:15:09.125860
FUL45081,ORD10474,Shipped,2025-05-31T18:56:40,WH001,Riyadh Central Warehouse,PICK5996,Kevin Ramirez,PACK3617,William Martinez,Express Delivery,TRK-73625822,Aramex,2025-10-06T11:06:51,,Democrat seven culture morning. Film southern call possible customer. Find meet wide inside out build north.,True,True,False,2025-10-04T21:15:09.126706
FUL45159,ORD16989,Packed,2025-02-03T07:21:50,WH001,Riyadh Central Warehouse,PICK5373,Rebecca Bell,PACK3792,Philip Watson,Express Delivery,TRK-03796954,Aramex,2025-10-08T10:59:07,,"Gun financial last return.
Sing from good good carry although already.
Heart tree reach almost. Use day site.
Particularly hope price rock part. Win pressure political trial beat soon necessary.",True,True,False,2025-10-04T21:15:09.127650
FUL39811,ORD65425,Delivered,2025-04-13T20:26:04,WH002,Jeddah Distribution Center,PICK6548,Tracy Shelton,PACK7162,Emily Blackwell,Refrigerated Transport,TRK-73414509,FedEx,2025-10-11T13:57:48,,About computer their staff sister memory ground group. Plan receive agent write. Benefit control service performance future of race.,True,True,True,2025-10-04T21:15:09.128494
FUL67416,ORD47773,Delivered,2025-02-27T16:47:07,WH002,Jeddah Distribution Center,PICK5376,Lynn Proctor,PACK3673,Diane Bennett,Ground Transport,TRK-21500136,Aramex,2025-10-06T15:14:05,,Central behavior know view church agent. Agent much social prevent under build national. Law around remember during however official.,True,True,True,2025-10-04T21:15:09.129294
FUL16516,ORD23275,Delivered,2025-06-05T09:13:22,WH004,Yanbu Storage Facility,PICK8101,Angela Fry,PACK6275,Kaitlin Mullins,Bulk Transport,TRK-70548526,FedEx,2025-10-07T08:14:22,,"That feel sometimes agency serious walk. President source quite include foot tough get. Recent certain artist each old woman add.
Despite long nothing much to service south.",False,False,False,2025-10-04T21:15:09.132621
FUL72478,ORD77968,Delivered,2025-05-07T21:34:55,WH001,Riyadh Central Warehouse,PICK9732,Joshua Murphy,PACK9327,John Martinez,Bulk Transport,TRK-58750422,Aramex,2025-10-07T10:31:16,,Eat fall might person throughout. Tough then high develop. Grow none population meeting together operation indeed.,True,False,False,2025-10-04T21:15:09.133428
FUL52592,ORD53201,Delivered,2025-03-28T08:41:39,WH005,Jazan Regional Warehouse,PICK9278,Brandi Dixon,PACK7098,Joanna Fernandez,Bulk Transport,TRK-83765290,Aramex,2025-10-10T07:08:24,,Require age really voice. Staff worry position each these. Run specific investment concern color account.,True,True,False,2025-10-04T21:15:09.134309
FUL44636,ORD20831,Delivered,2025-03-14T18:05:26,WH003,Dammam Logistics Hub,PICK9491,Christine Stuart,PACK3415,Kathy Sanchez,Ground Transport,TRK-90217953,Aramex,2025-10-08T16:26:50,,"Boy loss serious career arm. Material nor away bed sit risk. Mind data few from perform.
Six ball officer once difficult movie food. Main expert feel measure. Within my occur organization floor.",True,False,True,2025-10-04T21:15:09.134993
FUL19341,ORD36215,Delivered,2025-03-16T01:57:16,WH001,Riyadh Central Warehouse,PICK6391,Jonathan Murphy,PACK9382,Gary Harper,Ground Transport,TRK-36945212,Aramex,2025-10-07T01:31:07,,"Else arm understand police building when unit. Property staff clearly. Feeling indeed main hour turn.
Economic institution billion teacher take. Sense eye describe similar bill amount.",True,True,True,2025-10-04T21:15:09.135639
FUL36100,ORD31296,Delivered,2025-03-19T04:32:32,WH002,Jeddah Distribution Center,PICK6168,Steve Parker,PACK1746,Travis Alvarado DDS,Bulk Transport,TRK-31620149,Aldrees Logistics,2025-10-09T23:19:10,,Yard show among baby ok move quickly. Attorney college set hair exactly.,True,True,True,2025-10-04T21:15:09.136213
FUL97719,ORD84742,Packed,2025-02-27T06:20:12,WH001,Riyadh Central Warehouse,PICK5992,Amber Glenn,PACK6723,Jay Newton,Express Delivery,TRK-45930399,Aldrees Logistics,2025-10-10T01:01:07,,"Follow marriage people beyond way space. Ground job worry child place card.
Few shake sign build forward. Woman truth right popular lot catch check. Wonder meet attack hair language.",True,False,False,2025-10-04T21:15:09.136828
FUL45062,ORD71003,Delivered,2025-06-11T14:15:07,WH001,Riyadh Central Warehouse,PICK6145,Mr. Jason Cherry,PACK9734,Cynthia Hopkins,Ground Transport,TRK-65840736,Aldrees Logistics,2025-10-07T03:48:59,,"Time break oil music. Sell goal feel bag move structure wear resource.
Nearly vote ten chance along tree. He establish ready hard.",True,False,True,2025-10-04T21:15:09.137446
FUL74293,ORD60138,Delivered,2025-03-22T12:07:51,WH001,Riyadh Central Warehouse,PICK1300,Ashley Fuentes,PACK6626,Sabrina Livingston,Ground Transport,TRK-06386766,Saudi Post,2025-10-09T20:44:44,,Produce teacher single training author dream figure. Us happen network follow. Thus over write position almost together.,False,True,False,2025-10-04T21:15:09.138016
FUL17351,ORD41337,Packed,2025-05-11T16:44:29,WH002,Jeddah Distribution Center,PICK2047,Jesse Rodriguez DVM,PACK4656,Evan Hernandez,Express Delivery,TRK-74832008,FedEx,2025-10-11T02:38:14,,"Natural technology finally near. Gas nice both often authority artist. Religious anyone free natural together yet world house.
Fight well your exist bit people. Friend think music knowledge.",True,True,True,2025-10-04T21:15:09.138624
FUL53215,ORD60408,Delivered,2025-06-10T05:29:10,WH005,Jazan Regional Warehouse,PICK8241,Jeff Howard,PACK6318,Matthew Calderon,Ground Transport,TRK-06040293,Saudi Post,2025-10-10T04:28:16,,"Nearly perform mission wind change senior. Matter offer sister baby could almost consider significant.
Civil school difference dog. Wear member trade population trial baby general fish.",True,True,False,2025-10-04T21:15:09.139222
FUL46071,ORD12248,Delivered,2025-06-05T21:31:16,WH005,Jazan Regional Warehouse,PICK7437,Jeffrey Baldwin,PACK3561,Anthony Thompson,Refrigerated Transport,TRK-09428757,FedEx,2025-10-07T19:10:55,,"Allow eye college manager prove although ever million. Situation cold cost matter stand. Move couple bill.
Town human avoid already whole station. Current even service sometimes firm skin must.",True,True,True,2025-10-04T21:15:09.139825
FUL78800,ORD48561,Delivered,2025-06-29T18:26:41,WH004,Yanbu Storage Facility,PICK3531,Mr. Richard Nelson MD,PACK2795,Anthony Bush,Ground Transport,TRK-79583049,DHL,2025-10-10T07:46:32,,Black claim green drug tell time. Edge design whom action others admit. Federal tax particular might blue.,True,False,True,2025-10-04T21:15:09.140437
FUL95248,ORD45039,Delivered,2025-03-29T01:32:05,WH001,Riyadh Central Warehouse,PICK5973,Rachel Torres,PACK6781,Susan Marks,Express Delivery,TRK-28871119,Saudi Post,2025-10-09T08:59:52,,Recently most central federal public. Seem detail fast deal alone mother.,False,True,False,2025-10-04T21:15:09.141013
