supplier_id,supplier_name,contact_person,phone,email,address,city,country,supplier_type,credit_rating,payment_terms,lead_time_days,quality_rating,on_time_delivery_rate,total_orders,total_value_sar,certifications,created_at
SUP5846,Chevron,Tammy Price,466-550-5110x8356,amanda00@example.org,"1913 Foster Manor
East Bobfort, SC 08200",Kuwait,Bahrain,Fuel Supplier,B+,Net 15,4,4.9,0.873,961,1232957.1,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.445133
SUP4842,Maintenance Services,Sandra Michael,+1-308-270-2227x20170,awilson@example.net,"27086 Mccullough Mountains Apt. 493
Janiceport, TN 60986",Dubai,Kuwait,Service Provider,C,Prepaid,18,3.6,0.948,916,4405838.31,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.449290
SUP7821,Safety Equipment,Jonathan Marshall,660-983-6611,aaron77@example.com,"384 Sarah Roads Apt. 768
Brucefort, MI 39154",Dammam,Bahrain,Equipment Supplier,B+,Prepaid,13,3.7,0.933,14,5938827.11,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.450339
SUP2459,Chevron,Kevin Williams,6867382400,kayleesmith@example.org,"2158 Atkinson Squares Suite 411
Amandaton, LA 93283",Riyadh,Bahrain,Fuel Supplier,B+,COD,2,4.5,0.96,562,3061071.18,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.451361
SUP1513,BP,Sandra Wells,(873)765-7558,tylermalone@example.net,"146 Bailey Circle
South Meganside, TX 73388",Kuwait,Qatar,Fuel Supplier,B+,Net 15,22,4.6,0.952,899,874661.89,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.452061
SUP7833,Safety Equipment,Tiffany Watts,(810)714-3951x09125,ihenson@example.org,"056 Moon Haven
South Michaelstad, AS 01303",Dammam,Qatar,Equipment Supplier,B+,Net 15,7,3.6,0.921,608,8379625.85,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.452686
SUP6732,MAN Parts,Corey Jones,(435)637-5530x67329,fhood@example.net,"Unit 7876 Box 5575
DPO AP 07292",Riyadh,UAE,Parts Supplier,C,Net 30,25,4.9,0.88,160,1410467.29,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.453087
SUP3480,Safety Equipment,Megan Kim,8803497153,renee69@example.com,"18436 Jason Shoals Apt. 212
North Dominique, AS 63624",Dammam,Bahrain,Equipment Supplier,A,COD,15,4.8,0.963,925,4058491.2,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.453640
SUP9986,Technology Equipment,Amber Huber,+1-356-684-4944x984,david81@example.com,"60264 Vernon Stravenue Apt. 907
Smithmouth, NH 23090",Dammam,Qatar,Equipment Supplier,A,Net 30,6,4.7,0.931,651,3731505.75,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.454235
SUP1161,Warehousing,Lisa Beck,512.227.1815x583,nancy35@example.com,"PSC 6475, Box 0658
APO AA 59505",Dubai,UAE,Logistics Partner,B,COD,4,4.0,0.962,583,4874454.48,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.454602
SUP6167,Mercedes Parts,Lisa Perez,9965926521,harrisnicole@example.org,"18489 Mcguire Manor
South Michaelville, IN 68781",Riyadh,Saudi Arabia,Parts Supplier,A,Prepaid,4,3.9,0.952,913,7626944.37,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.455279
SUP8529,Total,Stephanie Lynch,241-934-8158x395,donald37@example.org,"Unit 4309 Box 7675
DPO AA 23980",Dammam,Bahrain,Fuel Supplier,A,Prepaid,3,3.9,0.975,646,2124267.62,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.455645
SUP7034,MAN Parts,Kathleen Bailey,920.294.8936x864,jgarza@example.com,"79989 Clark Well
Garciaside, AZ 38297",Dammam,Qatar,Parts Supplier,A,COD,5,3.9,0.91,602,9830166.19,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.456283
SUP3290,Warehousing,Austin Davis,7748702922,joshuariddle@example.net,"Unit 2686 Box 4649
DPO AE 51358",Doha,UAE,Logistics Partner,C,COD,29,3.6,0.873,77,8607483.16,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.456742
SUP9305,Technology Equipment,Dana Williams,671.341.4367,christinehumphrey@example.com,"19476 Ochoa Rue
Stephenshire, WA 93082",Jeddah,UAE,Equipment Supplier,B+,COD,1,3.6,0.927,116,1972232.01,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T21:15:16.457413
