vehicle_id,license_plate,vehicle_type,make,model,year,capacity_liters,fuel_type,driver_id,driver_name,driver_nationality,driver_phone,driver_email,driver_license,status,depot_assigned,gps_enabled,insurance_expiry,last_maintenance,mileage,fuel_efficiency,max_speed,weight_capacity,dimensions,safety_features,created_at,updated_at
ALD4900,A4933,Flat Bed,Iveco,Strong,2018,37590.811600079716,CNG,DRV6503,Ghulam Yousuf,Pakistani,+966533428358,drv6503@aldrees.com,hdMX-064894,Repair,Riyadh Depot,True,2026-08-29,2025-10-03,90986,8.609003778196264,108,21607.561517859784,"{'length': 15.399364345235778, 'width': 3.2772583823192507, 'height': 4.316155859906542}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.518039,2025-10-04T21:14:32.518046
ALD7378,B3136,Flat Bed,Volvo,Whose,2021,36263.289242439605,CNG,DRV2955,Sarkar Miah,Pakistani,+966551698306,drv2955@aldrees.com,MVTP-275499,Active,Haditha Depot,True,2024-11-04,2025-10-03,223483,8.783300924339919,114,28782.634860426173,"{'length': 12.504352178657577, 'width': 3.138124351261633, 'height': 3.8906422809797276}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.519279,2025-10-04T21:14:32.519282
ALD1090,C7807,2-Axle Base Oil Carrier,Scania,Tv,2015,38057.539931364576,CNG,DRV9065,Ibrahim Ansari,Indian,+966522921672,drv9065@aldrees.com,fAJq-792395,Retired,Dammam Depot,True,2026-02-25,2025-10-03,469119,10.582954286452733,111,42111.75902418267,"{'length': 14.071196988535313, 'width': 3.328014413494114, 'height': 3.876862604421502}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.520278,2025-10-04T21:14:32.520280
ALD7426,E2953,Heavy Material Dumper,Volvo,First,2020,20095.13390689626,Electric,DRV9141,Ahmed Ahmed,Pakistani,+966564242475,drv9141@aldrees.com,iUVF-832967,Repair,Dammam Depot,False,2025-08-09,2025-10-03,52275,12.344656477725135,91,38096.33701932052,"{'length': 11.464813212803918, 'width': 3.2780703432644347, 'height': 3.362868124600156}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.521400,2025-10-04T21:14:32.521403
ALD6930,D1300,3-Axle Fuel Tanker,Mercedes,Threat,2024,24363.95258520129,Gasoline,DRV2436,Bikash Khadka,Indian,+966565015208,drv2436@aldrees.com,BeEi-616989,Repair,Jeddah Depot,False,2025-10-19,2025-10-03,385122,13.046120259457847,115,21185.20782495718,"{'length': 17.88771260643923, 'width': 2.5236911065059755, 'height': 3.76022676513517}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.522745,2025-10-04T21:14:32.522747
ALD4831,A5794,Grains Dumper,MAN,Beyond,2023,31645.391554740047,Diesel,DRV9384,Sunil Mishra,Pakistani,+966506976384,drv9384@aldrees.com,JXeX-188705,Retired,Jazan Depot,True,2026-04-30,2025-10-03,332611,10.98577057306102,102,31487.417438383134,"{'length': 16.32754926669887, 'width': 3.3770819113163864, 'height': 3.738289993144514}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.523696,2025-10-04T21:14:32.523698
ALD9089,E5154,2-Axle Base Oil Carrier,Mercedes,Whom,2017,42048.53646386509,LPG,DRV4262,Mohan Rai,Egyptian,+966586032300,drv4262@aldrees.com,IJUz-822527,Repair,Jazan Depot,False,2026-07-22,2025-10-03,99472,9.580822525946086,94,25722.53837022305,"{'length': 17.76205636186403, 'width': 2.784518207681618, 'height': 4.23740912071789}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.524265,2025-10-04T21:14:32.524267
ALD1661,B4936,3-Axle Fuel Tanker,Volvo,Short,2015,45475.36722165036,Diesel,DRV4293,Saeed Syed,Pakistani,+966595334135,drv4293@aldrees.com,mUkH-160631,Retired,Riyadh Depot,True,2026-09-28,2025-10-03,210867,14.038187728798128,109,33503.14017121463,"{'length': 17.69977779257999, 'width': 3.3870837478503306, 'height': 3.883863159557694}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.524811,2025-10-04T21:14:32.524813
ALD4115,C9790,3-Axle Base Oil Tanker,MAN,Ask,2020,24909.45753424112,Electric,DRV7634,Ghulam Syed,Bangladeshi,+966584902574,drv7634@aldrees.com,TJfw-385825,Repair,Jazan Depot,True,2025-02-23,2025-10-03,218548,13.459348712409035,110,43529.93457903697,"{'length': 12.912268916725743, 'width': 3.2896018518211303, 'height': 3.4613095490582038}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.525321,2025-10-04T21:14:32.525322
ALD3176,D6984,2-Axle DOP Tanker,Volvo,Product,2024,33118.283614861844,Diesel,DRV6744,Imran Rana,Nepali,+966582267114,drv6744@aldrees.com,EAnS-792626,Repair,Jeddah Depot,True,2026-05-14,2025-10-03,89365,10.366255347290302,109,46535.75705994286,"{'length': 11.529881738380865, 'width': 3.3245216710231706, 'height': 3.9169327562645795}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.525803,2025-10-04T21:14:32.525804
