maintenance_id,vehicle_id,maintenance_date,maintenance_type,technician_id,technician_name,depot_location,cost_sar,duration_hours,parts_replaced,mileage_at_service,next_service_due,warranty_expiry,service_notes,quality_rating,maintenance_categories,tools_used,safety_checks,environmental_impact,created_at
MNT23634,ALD2136,2025-04-13T03:39:02,Annual Service,TECH8824,Kristina Mitchell,Haditha Depot,1916.87,3.95,['Engine Oil'],219140,2025-06-16T03:39:02,2025-08-10T03:39:02,Majority successful pay interview their value. Forward cell a. Six even real reason force painting than. Say society fill suffer.,5.0,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 10.964850808677063, 'hazardous_waste_kg': 5.88310868325399, 'co2_emissions_kg': 59.39414358096911}",2025-10-04T23:49:53.633440
MNT26441,ALD8923,2025-04-08T12:04:48,Safety Inspection,TECH5149,Joshua Rose,Haditha Depot,637.07,5.77,"['Battery', 'Fuel Filter']",248908,2025-09-17T12:04:48,2025-10-09T12:04:48,"Hold carry hand main future anything level treat.
Full over least worry. Act color recently guy time as. Reveal none stuff play.",3.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 18.47835669091417, 'hazardous_waste_kg': 6.895231637998192, 'co2_emissions_kg': 74.55397216338318}",2025-10-04T23:49:53.637019
MNT92317,ALD2767,2025-03-06T23:01:13,Brake Inspection,TECH4556,Elizabeth Moody,Jeddah Depot,1816.67,4.19,"['Brake Pads', 'Brake Discs']",468742,2025-08-25T23:01:13,2025-12-03T23:01:13,Area son break player. Activity indicate her ten thought stop. Debate parent however become free information if door.,4.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': False, 'transmission': False}","{'oil_waste_liters': 18.938377535946206, 'hazardous_waste_kg': 3.9221761183014716, 'co2_emissions_kg': 148.91274210570654}",2025-10-04T23:49:53.639090
MNT92023,ALD6911,2025-01-14T08:39:00,Brake Inspection,TECH7715,Zachary Thompson,Jeddah Depot,867.29,2.92,"['Brake Pads', 'Brake Discs']",131646,2025-03-18T08:39:00,2025-10-07T08:39:00,Light even media address issue. Behavior employee something stand hope kitchen cultural. Help subject south radio what represent everything pull.,3.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.973276168724787, 'hazardous_waste_kg': 9.366239974462907, 'co2_emissions_kg': 62.45962190046438}",2025-10-04T23:49:53.641221
MNT64098,ALD8477,2025-04-03T14:05:19,Safety Inspection,TECH6744,Gerald Torres,Jeddah Depot,1924.83,1.17,['Transmission Fluid'],400791,2025-09-08T14:05:19,2026-03-18T14:05:19,Routine maintenance completed successfully,4.4,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.866137963145823, 'hazardous_waste_kg': 5.441465844765569, 'co2_emissions_kg': 152.02122736215057}",2025-10-04T23:49:53.650291
MNT32298,ALD7693,2025-06-29T02:27:32,Tire Replacement,TECH7440,Oscar Blackburn,Haditha Depot,1782.83,1.09,['Tires'],222765,2025-10-20T02:27:32,2025-10-14T02:27:32,Defense finish who season game travel sign. Of growth her daughter require production.,4.5,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 5.307529700207601, 'hazardous_waste_kg': 8.854226767156739, 'co2_emissions_kg': 90.08123719448741}",2025-10-04T23:49:53.653459
MNT24817,ALD1985,2025-02-07T07:11:34,Engine Repair,TECH7197,Debbie Tucker,Jazan Depot,2920.19,9.6,"['Transmission Fluid', 'Air Filter', 'Timing Belt', 'Brake Discs']",215852,2025-06-16T07:11:34,2025-11-04T07:11:34,High member majority leader list force arrive. Democrat offer wife computer somebody feel.,3.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 7.907836677569334, 'hazardous_waste_kg': 4.4502368983963185, 'co2_emissions_kg': 118.52928739842415}",2025-10-04T23:49:53.657651
MNT93612,ALD8504,2025-01-10T02:18:48,Safety Inspection,TECH3531,Samantha Jackson,Yanbu Depot,680.74,1.71,"['Alternator', 'Spark Plugs', 'Starter Motor']",54199,2025-03-06T02:18:48,2025-11-10T02:18:48,Responsibility political short suffer visit behind often suggest.,4.7,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': True, 'transmission': False}","{'oil_waste_liters': 13.643423078220017, 'hazardous_waste_kg': 9.99274729796077, 'co2_emissions_kg': 61.551940278212506}",2025-10-04T23:49:53.661805
MNT89840,ALD2684,2025-06-03T12:51:53,Engine Repair,TECH5570,Jesse Smith,Jazan Depot,2189.38,5.97,"['Transmission Fluid', 'Brake Pads', 'Oil Filter', 'Timing Belt']",216780,2025-07-08T12:51:53,2025-09-18T12:51:53,Television camera until manage on per. Something I enter writer have nice. Development drug sometimes under strategy.,4.5,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 10.275844774185849, 'hazardous_waste_kg': 1.866174042838567, 'co2_emissions_kg': 60.63672381368336}",2025-10-04T23:49:53.663292
MNT26251,ALD6015,2025-01-10T07:22:47,Routine Service,TECH1046,Nathan Archer,Haditha Depot,335.55,2.82,"['Engine Oil', 'Brake Pads']",292589,2025-06-22T07:22:47,2025-08-23T07:22:47,Shake may simple speak visit degree support. Before model call reveal method.,4.5,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 8.90662682770715, 'hazardous_waste_kg': 3.989552636645689, 'co2_emissions_kg': 144.51905755036483}",2025-10-04T23:49:53.666749
